ENSG00000123358.19	NR4A1
ENSG00000123388.4	HOXC11
ENSG00000123405.13	NFE2
ENSG00000123685.8	BATF3
ENSG00000123933.16	MXD4
ENSG00000124092.12	CTCFL
ENSG00000124151.18	NCOA3
ENSG00000124216.3	SNAI1
ENSG00000124459.11	ZNF45
ENSG00000124613.8	ZNF391
ENSG00000124664.10	SPDEF
ENSG00000124766.6	SOX4
ENSG00000124813.21	RUNX2
ENSG00000125347.13	IRF1
ENSG00000125398.6	SOX9
ENSG00000125618.16	PAX8
ENSG00000125798.14	FOXA2
ENSG00000125820.5	NKX2-2
ENSG00000125846.15	ZNF133
ENSG00000125850.10	OVOL2
ENSG00000125945.14	ZNF436
ENSG00000125952.18	MAX
ENSG00000126351.12	THRA
ENSG00000126456.15	IRF3
ENSG00000126561.16	STAT5A
ENSG00000126603.8	GLIS2
ENSG00000126746.17	ZNF384
ENSG00000126767.17	ELK1
ENSG00000126804.13	ZBTB1
ENSG00000127081.13	ZNF484
ENSG00000127152.17	BCL11B
ENSG00000128272.14	ATF4
ENSG00000128573.24	FOXP2
ENSG00000128604.19	IRF5
ENSG00000128610.11	FEZF1
ENSG00000129071.9	MBD4
ENSG00000129152.3	MYOD1
ENSG00000129173.12	E2F8
ENSG00000129514.5	FOXA1
ENSG00000129911.8	KLF16
ENSG00000130522.5	JUND
ENSG00000130544.11	ZNF557
ENSG00000130684.13	ZNF337
ENSG00000130711.3	PRDM12
ENSG00000130803.14	ZNF317
ENSG00000130816.15	DNMT1
ENSG00000130818.11	ZNF426
ENSG00000130844.17	ZNF331
ENSG00000131061.13	ZNF341
ENSG00000131127.13	ZNF141
ENSG00000131196.17	NFATC1
ENSG00000131408.13	NR1H2
ENSG00000131759.17	RARA
ENSG00000131845.14	ZNF304
ENSG00000131848.9	ZSCAN5A
ENSG00000131849.11	ZNF132
ENSG00000131931.8	THAP1
ENSG00000132005.8	RFX1
ENSG00000132024.17	CC2D1A
ENSG00000132170.20	PPARG
ENSG00000132604.10	TERF2
ENSG00000133740.10	E2F5
ENSG00000133794.17	ARNTL
ENSG00000134046.11	MBD2
ENSG00000134107.4	BHLHE40
ENSG00000134138.19	MEIS2
ENSG00000134323.11	MYCN
ENSG00000134532.16	SOX5
ENSG00000134852.14	CLOCK
ENSG00000134954.14	ETS1
ENSG00000135100.17	HNF1A
ENSG00000135111.15	TBX3
ENSG00000135365.15	PHF21A
ENSG00000135373.12	EHF
ENSG00000135374.9	ELF5
ENSG00000136352.17	NKX2-1
ENSG00000136367.13	ZFHX2
ENSG00000136451.8	VEZF1
ENSG00000136574.17	GATA4
ENSG00000136603.13	SKIL
ENSG00000136826.14	KLF4
ENSG00000136866.13	ZFP37
ENSG00000136870.10	ZNF189
ENSG00000136997.17	MYC
ENSG00000137203.11	TFAP2A
ENSG00000137265.14	IRF4
ENSG00000137709.9	POU2F3
ENSG00000137871.20	ZNF280D
ENSG00000137947.11	GTF2B
ENSG00000138795.9	LEF1
ENSG00000139083.10	ETV6
ENSG00000139154.14	AEBP2
ENSG00000139352.3	ASCL1
ENSG00000139515.5	PDX1
ENSG00000139651.10	ZNF740
ENSG00000140009.18	ESR2
ENSG00000140044.12	JDP2
ENSG00000140262.17	TCF12
ENSG00000140265.12	ZSCAN29
ENSG00000140382.14	HMG20A
ENSG00000140396.12	NCOA2
ENSG00000140632.16	GLYR1
ENSG00000141040.14	ZNF287
ENSG00000141448.8	GATA6
ENSG00000141510.17	TP53
ENSG00000141568.20	FOXK2
ENSG00000141579.6	ZNF750
ENSG00000141644.17	MBD1
ENSG00000141646.13	SMAD4
ENSG00000141905.18	NFIC
ENSG00000141946.1	ZIM3
ENSG00000142065.13	ZFP14
ENSG00000142528.15	ZNF473
ENSG00000142556.18	ZNF614
ENSG00000143067.4	ZNF697
ENSG00000143190.22	POU2F1
ENSG00000143373.17	ZNF687
ENSG00000143379.12	SETDB1
ENSG00000143390.17	RFX5
ENSG00000143437.20	ARNT
ENSG00000143614.9	GATAD2B
ENSG00000143842.14	SOX13
ENSG00000143995.19	MEIS1
ENSG00000144026.11	ZNF514
ENSG00000144161.12	ZC3H8
ENSG00000144792.9	ZNF660
ENSG00000145908.12	ZNF300
ENSG00000146587.17	RBAK
ENSG00000146757.13	ZNF92
ENSG00000147117.7	ZNF157
ENSG00000147118.11	ZNF182
ENSG00000147124.12	ZNF41
ENSG00000147421.17	HMBOX1
ENSG00000147596.3	PRDM14
ENSG00000147601.13	TERF1
